unique_sciname,unique_common_name
pyrus calleryana ,chanticleer flowering pear
prunus species,stone fruit species
lophostemon confertus,brisbane box tree
geijera parviflora,australian willow
washingtonia robusta,mexican fan palm
lagerstroemia ,nanchez crape myrtle
fraxinus americana ,autumn purple ash
pyrus calleryana,ornamental pear
citrus limon,lemon
pinus halepensis,aleppo pine
syagrus romanzoffianum,queen palm
ligustrum lucidum,glossy privet
lagerstroemia indica,crape myrtle
persea americana,avocado tree
ligustrum japonicum,japanese privet
eriobotrya japonica,edible loquat
albizia julibrissin,silk tree
diospyros kaki,japanese persimmon
crataegus laevigata,english hawthorn
eucalyptus species,eucalyptus species
arbutus unedo,strawberry tree
stump,stump
olea europaea,olive tree
acacia baileyana,bailey acacia
punica granatum,pomegranate
melaleuca linariifolia,flaxleaf paperbark
grevillea robusta,silk oak
prunus caroliniana,carolina laurel cherry
pittosporum undulatum,victorian box
celtis occidentalis,common hackberry
psidium guajava,guava
callistemon citrinus,lemon bottlebrush
pinus pinea,italian stone pine
pinus species,pine species
ceratonia siliqua,carob tree
zelkova serrata,vase tree
celtis sinensis,chinese hackberry
photinia glabra,red leaf photinia
triadica sebifera,chinese tallow tree
pyrus pyrifolia,asian pear
ficus carica,mission fig
prunus yedoensis ,NA
quercus kelloggii,california black oak
schinus terebinthifolius,brazilian pepper
aesculus x carnea,red horse chestnut
quercus canbyi,canby oak
myoporum laetum,myoporum
quercus virginiana,southern live oak
podocarpus macrophyllus,yew pine
fraxinus angustifolia ,raywood ash
quercus engelmannii,engelmann oak
quercus oblongifolia,sonoran blue oak
laurus nobilis,sweet bay
brachychiton rupestris,queensland bottle
prunus persica var. nucipersica,nectarine
pinus radiata,monterey pine
xylosma congestum,shiny xylosma
quercus cambii,sierra oak
prunus armeniaca,apricot tree
ziziphus jujuba,chinese jujube
diospyros virginiana,american persimmon
callistemon viminalis,weeping bottlebrush
citrus x paradisi,grapefruit
cupressus sempervirens,italian cypress
prunus akebono,NA
pittosporum tobira,japanese cheesewood
pittosporum tenuifolium,blackstem pittosporum
prunus avium,fruiting cherry
nerium oleander,oleander tree
trachycarpus fortunei,windmill palm
arbutus menziesii,madrone
pinus thunbergiana,japanese black pine
rhus lancea,african sumac
platanus racemosa,california sycamore
cedrus atlantica,atlas cedar
picea pungens ,colorado blue spruce
pinus sp,pine
cercis occidentalis,western redbud
pinus canariensis,canary island pine
bauhinia x blakeana,hong kong orchid tree
afrocarpus gracilior,fern pine
ficus benjamina,weeping fig
acacia melanoxylon,blackwood acacia
heteromeles arbutifolia,toyon
eucalyptus polyanthemos,silver dollar gum
osmanthus americanus,american devilwood
cupressus species,cypress
eucalyptus globulus,blue gum
syzygium australe,brush cherry
salix lasiolepis,arroyo willow
acer negundo,box elder
bauhinia variegata,purple orchid tree
syzygium jambos,rose apple
unidentifiable tree,unidentifiable tree
araucaria heterophylla,norfolk island pine
cupressus macrocarpa,monterey cypress
washingtonia filifera,california fan palm
araucaria araucana,monkey puzzle tree
eucalyptus sideroxylon,red ironbark
syzygium paniculatum,brush cherry
pyrus communis,edible pear
araucaria columnaris,star pine
leptospermum scoparium,new zealand tea tree
palm,palm
casuarina equisetifolia,horsetail tree
cornus florida,eastern dogwood
solanum macranthum,tree solanum
ficus rubiginosa,rustyleaf fig
senna splendida,golden wonder senna
eucalyptus viminalis,manna gum
fraxinus velutina,arizona ash
juglans californica,southern california black walnut
ficus religiosa,bo tree
citrus species,citrus species
arctostaphylos ,austin griffiths manzanita
prunus serrulata ,kwanzan flowering cherry
chitalpa tashkentensis,chitalpa
malus floribunda,crabapple tree
elaeocarpus decipiens,japanese blueberry tree
cotinus coggygria ,royal purple smoke tree
magnolia doltsopa,michelia
magnolia grandiflora ,little gem magnolia
juniperus californica,california juniper
macadamia integrifolia,NA
yucca gloriosa,spanish dagger yucca
parkinsonia florida,blue palo verde
brachychiton populneus,bottle tree
salix scouleriana,wild willow
quercus wislizenii,interior live oak
delonix regia,royal poinciana
cotinus coggygria,smoke tree
ilex aquifolium,english holly
eucalyptus camaldulensis,red gum
archontophoenix cunninghamiana,king palm
pinus brutia var. eldarica,afghan pine
salix matsudana ,corkscrew willow
eucalyptus microcarpa,gray box
eucalyptus perriniana,spinning gum
umbellularia californica,california bay
melaleuca quinquenervia,cajeput tree
sambucus neomexicana,blue elderberry
citrus reticulata,tangerine
juglans hindsii,california black walnut
gleditsia triacanthos f. inermis,thornless honey locust
prunus serrulata,japanese flowering cherry
tristaniopsis laurina ,elegant water gum
ligustrum vulgare,common privet
ceanothus thyrsiflorus,california lilac species
aesculus californica,california buckeye
quercus garryana,oregon white oak
juniperus chinensis ,hollywood juniper
chilopsis linearis,desert willow
populus deltoides,cottonwood
acer macrophyllum,big leaf maple
eucalyptus cladocalyx,sugar gum
magnolia solingiana,saucer magnolia
platanus columbiana,london plane 
quercus,oak
nyssa sylvatica,sour gum
prunus ilicifolia,hollyleaf cherry
phoenix dactylifera,date palm
corylus species,filbert
populus sargentii,plains cottonwood
ash on property,NA
crataegus crusgalli ,thornless cockspur hawthorn
acer x freemanii ,freeman 
liliiflora nigra x stellata rosea,ann magnolia
ulmus americana ,valley forge elm
prunus,cherry spp
populus hybrid,hybrid cottonwood
amelanchier x grandiflora ,autumn brilliance serviceberry
tree requested,NA
acer truncatum,shantung maple
gymnocladus dioicus ,espresso kentucky coffeetree
syringa species,lilac
amelanchier species,serviceberry
catalpa bignonioides,eastern catalpa
morus spp.,mulberry
rescon,rescon
acer miyabei ,state street maple
populus tremula,eurasian aspen
platanus x acerifolia,london plane
quercus x warei,warei oak
ulmus x ,accolade elm
malus ioensis,prairie or bechtel crabapple
ulmus americana ,augustine elm
gleditsia triacanthos ,skyline honey locust
prunus virginiana ,canada red chokecherry
crataegus species,hawthorn
sorbus aucuparia,european mountain ash
malus species,edible apple
rhamnus cathartica,buckthorn
picea glauca var. densata,black hills spruce
ulmus ,triumph elm
aesculus x carnea ,fort mcnair horsechestnut
syringa pekinensis,peking lilac
catalpa species,catalpa
quercus robur ,english columnar oak
juniperus species,juniper
malus ,spring snow crabapple
aesculus octandra,yellow buckeye
acer tataricum ,tatarian 
ulmus species,elm
acer saccharum ,john pair maple
acer species,maple
ulmus propinqua,emerald sunshine elm
acer tataricum ,pattern perfect maple
ddigs tree,ddigs tree
quercus gambellii,gambel oak
ulmus carpinifolia x parvifolia ,frontier elm
euonymus alatus,burning bush euonymous
celtis reticulata,western hackberry
ulmus thomasii,rock elm
cupressus arizonica,arizona cypress
pyrus communis,fruiting pear
prunus cerasifera ,newport plum
juniperus oxycedrus,prickly juniper
fraxinus species,ash
pyrus spp.,pear
maclura pomifera,osage orange
prunus domestica,fruiting plum
picea glauca ,alberta spruce
laburnum x watereri,goldenchain tree
gleditsia triacanthos ,imperial honey locust
ulmus davidiana var. japonica ,accolade elm
tilia x flavescens ,NA
malus ,prairiefire crabapple
prunus species,plum
quercus robur x bicolor ,regal prince oak
quercus robur x macrocarpa ,heritage oak
malus tschonoskii,crabapple
gleditsia triacanthos ,impcole honey locust
populus species ,cottonwood
salix species,willow
acer truncatum x a. platanoides ,norwegian sunset maple
NA,flashfire sugar maple
rhamnus species,spp buckthorn
caragana arborescens,siberian peashrub
sorbus spp.,mountain ash
cedrus atlantica,blue atlas cedar
quercus robur x alba ,crimson spire oak
tilia americana ,redmond linden
styphnolobium japonica,japanese pagoda tree
castanea mollissima,chinese chestnut
pinus species,pine
carpinus betulus ,upright european hornbeam
cladrastis lutea,yellowwood
salix matsudana ,globe navajo willow
quercus dentata,japanese emperor oak
quercus species,oak
prunus subhirtella ,weeping cherry
magnolia species,magnolia
ginkgo biloba ,princeton sentry ginkgo
picea species,spruce
crataegus laevigata ?paul?s scarlet?,paul
betula species,birch
quercus x macdanielli ,heritage english oak
sorbus x thuringiaca,oakleaf mountain ash
ginkgo biloba ,magyar ginkgo
abies species,fir
forthysia,forsythia species
ulmus wilsoniana,prospector elm
malus ,radiant crabapple
aesculus x ,NA
cornus species,dogwood
rhus species,sumac
betula occidentalis,western river birch
pyrus calleryana ,jack flowering pear
prunus padus,bird cherry may day tree
parrotia persica,persian parrotia
gymnocladus dioica ,kentucky 
hydrangea paniculata,peegee hydrangea
euonymus europaeus,spindle tree
chionanthus virginicus,fringe tree
ligustrum spp.,privet
malus transitoria,crabapple royal raindrops
zelkova species,zelkova
ligustrum ovalifolium,privet hedge
shepherdia argentea,silver buffalo berry
sambucus nigra,common elderberry
pinus balfouriana,foxtail pine
picea abies ,norway weeping spruce
fagus species,beech
crataegus laevigata ,crimson cloud hawthorn
acer macrophyllum,maple big leaf
juglans cinerea,butternut walnut
cerocarpus species,mountain mahogany
populus nigra ,lombardy poplar
broadleaf deciduous small other,broadleaf deciduous small other
nyssa sylvatica,"black, blackgum tupelo"
prunus x yedoensis,flowering cherry
ulmus davidiana var. japonica,dicovery elm
euonymus species,NA
quercus frainetto ,hungarian oak
cedrus species,cedar
alnus tenufolia,thinleaf alder
crataegus douglasii,"black, river hawthorn"
vegetation along sidewalk,vegetation along sidewalk
platanus x acerifolia ,london 
conifer evergreen large other,conifer evergreen large other
malus floribunda,japanese crabapple
viburnum opulus,european cranberry viburnum
juniperus osteosperma,utah juniper
robinia pseudoacacia ,purple robe locust
cedrus deodara,deodara cedar
quercus × schuettei,schuette oak
prunus glandulosa,flowering almond
larix species,larch
pinus densiflora var. umbraculifera,dwarf japanese umbrella pine
populus fremontii,fremont poplar
ulmus wilsoniania,prospector elm
crataegus mordenensis ,toba hawthorn
thuja plicata,western red cedar
asimina triloba,american pawpaw
cercis reniformis,oklahoma redbud
liliiflora nigra x sprengeri diva,galaxy magnolia
quercus undulata,wavy leaf oak
alnus species,alder
xancotheras sorbifolium,yellowhorn
fagus sylvatica ,weeping european beech
populus species ,poplar
vegetation along alley,vegetation along alley
viburnum sp,viburnum
catalpa ovata,chinese catalpa
paulownia species,paulownia
betula platyphylla,japanese white birch
picea orientalis,oriental spruce
cedrus libani,cedar of lebanon
aesculus x arnoldiana,autumn splendor horsechestnut
quercus polymorpha,mexican white oak
platanus orientalis,oriental planetree
tilia mongolica,harvest golden linden
tsuga canadensis,hemlock
robinia x ambigua ,idaho locust
salix alba ,golden weeping willow
test site,test site
robinia pseudoacacia ,purple crown locust
robinia neomexican,new mexico locust
stewartia pseudocamellia,japanese stewartia
chionanthus retusus,chinese fringe tree
quercus macrocarpa x gambelii,NA
caragana arborescens ,weeping siberian pea tree
tamarix species,salt cedar tamarisk
prunus ,north star cherry
quercus x bimundorum,prairie stature oak
quercus texana,nutall oak
ziziphus jujuba,"common, red date jujube"
styrax japonicus,japanese snowbell
neighboring protected tree,NA
yucca rostrata,beaked yucca
ilex species,holly berry
sorbus intermedia,swedish whitebeam
prunus persica ,weeping peach
fraxinus angustifolia,raywood ash
diospyros virginia,persimmon
ulmus carpinifolia,field elm
cornus alba,tatarian dogwood
aesculus glabra var. arguta,texas buckeye
magnolia kobus,kobus magnolia
acer monspessulanum,montpelier maple
ilex verticillata,winterberry
physocarpus opulifolius ,diablo ninebark
ulmus japonica x pumila ,new horizon elm
sapindus saponarua var drummondi,western soapberry
chamaecyparis species,false cypress
salix caprea ,NA
stewartia species,stewartia
styphnolobium japonica ,japanese pogoda tree millstone
sorbus aria,whitebeam
elaeagnus umbellata,autumn olive
styphnolobium japonica ,japanese pagoda tree 
pinus jeffereyi,jeffrey pine
picea,spruce
pinus,pine
tilia,linden
sorbus,mountain ash
salix,willow
populus x,hybrid poplar
malus,apple
larix,larch
pinus contorta latifolia,lodgepole pine
malus x adstringens gladiator,crabapple
larix siberica,siberian larch
tilia cordata greenspire,littleleaf linden
acer platanoides crimson sentry,norway maple
syringa reticulata ivory silk,japanese tree lilac
ulmus americana brandon,american elm
populus tremuloides,trembling aspen
malus baccata starlite,siberian crabapple
malus x adstringens radiant,crabapple
tilia americana redmond,american linden
malus x adstringens courageous,crabapple
fraxinus pennsylvanica patmore,green ash
populus tremula erecta,swedish columnar aspen
pyrus x navigator,hybrid pear
populus x northwest,hybrid poplar
prunus padus commutata,mayday
acer tataricum hot wings,tatarian maple
picea pungens blue,colorado spruce
fraxinus pennsylvanica summit,green ash
acer x freemanii sienna glen,freemans maple
quercus x jackiana jefmir,hybrid oak
salix pentandra,laurel leaf willow
tilia americana true north,american linden
malus baccata spring snow,siberian crabapple
tilia x flavescens dropmore,hybrid linden
pyrus fauriei,korean sun pear
malus baccata columnaris,siberian crabapple
sorbus decora,showy mountain ash
aesculus x autumn splendor,hybrid buckeye
betula papyrifera chikadee,paper birch
crataegus x mordenensis toba,hawthorn
alnus crispa,green alder
acer x freemanii autumn blaze,freemans maple
tilia cordata corinthian,littleleaf linden
fraxinus pennsylvanica prairie spire,green ash
sorbus aucaparia,european mountain ash
betula platyphylla jefpark,dakota pinnacle birch
eleagnus angustifolia,russian olive
fraxinus pennsylvanica bergeson,green ash
quercus x warei kindred spirit,hybrid oak
populus x assiniboine,hybrid poplar
tilia cordata morden,littleleaf linden
picea pungens columnar blue,colorado spruce
prunus virginiana schubert,chokecherry
malus x adstringens thunderchild,crabapple
picea pungens hoopsii,colorado spruce
malus x adstringens purple spire,crabapple
crataegus x mordenensis snowbird,hawthorn
sorbus aucaparia fastigiata,european mountain ash
acer saccharinum silver cloud,silver maple
syringa reticulata snowdance,japanese tree lilac
acer rubrum prairie rouge,red maple
picea pungens green,colorado spruce
salix alba vitellina,white willow
malus x adstringens emerald spire,crabapple
acer,maple
prunus maackii goldrush,amur cherry
picea pungens columnar,colorado spruce
alnus hirsuta harbin,manchurian alder
picea glauca densata,white spruce
prunus cerasus evans,sour cherry
prunus virginiana midnight schubert,chokecherry
acer rubrum armstrong gold,red maple
acer saccharum inferno,sugar maple
malus baccata rosthern,siberian crabapple
salix alba sericea,white willow
salix acutifolia,sharp leaf willow
fraxinus americana autumn purple,white ash
quercus robur x alba skinny genes,hybrid oak
picea pungens fastigiata,colorado spruce
sorbus aucaparia pyramidal,european mountain ash
acer x freemanii,freemans maple
populus x sundancer,hybrid poplar
prunus maackii goldspur,amur cherry
tilia cordata byskinner,littleleaf linden
tilia americana american sentry,american linden
quercus macrocarpa top gun,bur oak
acer ginnala flame,amur maple
malus x adstringens royalty,crabapple
sorbus aucaparia rossica,european mountain ash
prunus nigra princess kay,canada plum
malus x adstringens,crabapple
ulmus americana patmore,american elm
tilia cordata golden cascade,littleleaf linden
phellodendron amurense his majesty,amur corktree
acer negundo sensation,manitoba maple
quercus x warei regal prince,hybrid oak
picea pungens baby blue,colorado spruce
malus x adstringens pink spires,crabapple
tilia x flavescens,hybrid linden
quercus macrocarpa sentry columnar,bur oak
gleditsia triacanthos var inermis shademaster,thornless honeylocust
tilia cordata summer sprite,littleleaf linden
sorbus aucaparia black hawk,european mountain ash
pseudotsuga menziesii var. glauca,douglas fir
malus x adstringens midnite spire,crabapple
malus x adstringens red splendor,crabapple
populus x tower,hybrid poplar
prunus domestica mount royal,european plum
gleditsia triacanthos northern acclaim,honeylocust
pinus sylvestris columnar,scots pine
tilia mongolica harvest gold,mongolian linden
prunus maackii klondike,amur cherry
prunus maackii ming,amur cherry
ulmus davidiana burgundy glow,japanese elm
maackia amurensis summer frost,amur maackia
malus x adstringens dreamweaver,crabapple
syringa pekinesis summer charm,peking lilac
malus x adstringens makamik,crabapple
quercus macrocarpa cobblestone,bur oak
populus deltoides sargents,cottonwood poplar
alnus hirsuta prairie horizon,manchurian alder
prunus x muckle,hybrid plum
NA,american hybrid elm
fraxinus pennsylvanica foothills,green ash
malus x adstringens selkirk,crabapple
salix pentandra silver lake,laurel leaf willow
quercus x bimundorum midwest,hybrid oak
malus x adstringens ambassador,crabapple
populus,poplar
sorbus aucaparia skinners,european mountain ash
syringa reticulata summer storm,japanese tree lilac
populus balsamifera paskapoo,balsam poplar
betula,birch
pyrus ussuriensis golden spice,ussurian pear
acer x freemanii regal celebration,freemans maple
acer platanoides columnare,norway maple
pyrus ussuriensis mountain frost,ussurian pear
acer negundo baron,manitoba maple
acer platanoides deborah,norway maple
fraxinus americana northern blaze,white ash
crataegus,hawthorn
quercus ellipsoidalis shooting star,northern pin oak
malus prunifolia rinki,plumleaf crabapple
tilia cordata ronald,littleleaf linden
acer negundo sunstar,manitoba maple
syringa reticulata golden eclipse,japanese tree lilac
acer platanoides prairie splendor,norway maple
betula platyphylla fargo,dakota pinnacle birch
crataegus erythropoda,cerro hawthorn
celtis occidentalis delta,hackberry
quercus macrocarpa urban pinnacle,bur oak
syringa reticulata willamette,japanese tree lilac
sorbus x hybrida,oakleaf mountain ash
prunus fruticosa x cerasus crimson passion,dwarf sour cherry
ulmus davidiana discovery,japanese elm
aesculus x prairie torch,hybrid buckeye
acer rubrum scarlet jewell,red maple
malus parkland,apple
maackia amurensis starburst,amur maackia
pyrus ussuriensis early gold,ussurian pear
larix occidentalis,western larch
salix babylonica lace,weeping willow
pyrus calleryana autumn blaze,glens form pear
quercus ellipsoidalis majestic skies,northern pin oak
alnus alnobetula,mountain alder
fraxinus,ash
prunus ,cherry sp.
ulmus x night rider,hybrid elm
acer rubrum northwood,red maple
ulmus,elm
pyrus ussuriensis ure,ussurian pear
pyrus ussuriensis prairie gem,ussurian pear
malus x adstringens royal beauty,crabapple
phellodendron amurense eye stopper,amur corktree
pinus strobus columnar,eastern white pine
sorbus aucaparia cardinal royal,european mountain ash
quercus robur x alba crimson spire,hybrid oak
sorbus aucaparia skybound,european mountain ash
betula papyrifera prairie dream,paper birch
malus x adstringens rudolph,crabapple
acer tataricum rugged charm,tatarian maple
acer rubrum red rocket,red maple
acer ginnala ruby slippers,amur maple
pyrus,pear
prunus ,plum sp.
malus baccata dolgo,siberian crabapple
prunus x,hybrid plum
betula pendula gracilis,weeping birch
acer rubrum autumn spire,red maple
juniperus scopulorum wichita blue,rocky mountain juniper
acer platanoides crimson king,norway maple
malus x adstringens kelsey,crabapple
populus x prairie sky,hybrid poplar
ostrya virginiana,ironwood
lonicera tatarica,tatarian honeysuckle
malus x jefdale,apple
fraxinus americana tuxedo,white ash
caragana arborescens sutherland,upright caragana
picea pungens bakeri,colorado spruce
crataegus arnoldiana,arnold hawthorn
prunus pensylvanica mary liss,pin cherry
acer platanoides crimson sunset,norway maple
picea pungens pendula,colorado spruce
malus x adstringens shaughnessy cohen,crabapple
malus x adstringens almey,crabapple
picea glauca pendula,white spruce
sorbus scopulina,western mountain ash
pinus cembra columnar,swiss stone pine
malus honeycrisp,apple
prunus cerasifera newport,cherry plum
ginkgo biloba,ginkgo biloba
fraxinus x northern treasure,northern treasure ash
malus x adstringens fuchsia girl,crabapple
betula pendula laciniata,weeping birch
malus x adstringens big river,crabapple
pinus mugo big tuna,mugo pine
pinus flexilis vanderwolfs pyramid,limber pine
prunus x kerrasis valentine,dwarf sour cherry
acer rubrum bowhall,red maple
fraxinus americana nobility,white ash
fraxinus americana calypso,white ash
prunus padus sweetheart,mayday
prunus cerasifera atropurpurea,cherry plum
quercus palustris green pillar,pin oak
celtis occidentalis prairie sentinel,hackberry
picea glauca montrose charm,white spruce
acer palmatum helena,japanese maple
prunus x kerrasis cupid,dwarf sour cherry
pinus sylvestris golden,scots pine
malus x adstringens strathmore,crabapple
crataegus crusgalli var inermis,thornless hawthorn
fraxinus americana autumn blaze,white ash
pyrus calleryana glens form,glens form pear
malus red sparkle,apple
prunus x pembina,hybrid plum
acer saccharum fall fiesta,sugar maple
malus goodland,apple
fraxinus nigra fallgold,black ash
malus x norkent,apple
picea omorika bruns,serbian spruce
prunus salicina brookgold,japanese plum
malus kerr,apple
malus x september ruby,apple
prunus nigra bounty,canada plum
amelanchier alnifolia,tree form saskatoon
malus baccata snowdrift,siberian crabapple
malus x green wall,columnar crabapple
pinus strobus contorta,eastern white pine
malus x adstringens harvest gold,crabapple
prunus virginiana bailey select,chokecherry
malus fall red,apple
malus x adstringens royal mist,crabapple
syringa pekinesis,peking lilac
pyrus calleryana gladiator,glens form pear
malus x adstringens snowcap,crabapple
prunus padus commutata advance,mayday
picea pungens ,blue spruce
acer platanoides red variety,norway maple red variety
tilia cordata species,littleleaf linden species
acer platanoides ,globe norway maple
syringa reticulata,ivory silk
amelanchier  species,serviceberry
malus  apple species,crabapple species
acer x freemanii ,autumn blaze maple
acer nigra ,greencolumn black maple
fraxinus pennsylvanica species,green ash species
acer platanoides species,norway maple species
gleditsia triacanthos,honeylocust species
elm,elm
fraxinus  species,ash species
pyrus calleryana species,callery pear
broadleaf deciduous large other,broadleaf deciduous large
acer platanoides ,columnare maple
platanus hybrida,london planetree
cornus  species,dogwood
quercus robur ,columnar english oak
populus grandidentata,bigtooth aspen
rhamnus frangula,glossy buckthron
taxus  species,yew
prunus  species,plum
ginkgo biloba,ginkgo species
gleditsia triacanthos var.  inermis ,skyline locust
chamaecyparis nootkatensis,nootka falsecypress
juniperus species,juniperus species
acer platanoides ,crimson king maple
acer  species,maple
pyrus calleryana ,chanticleer callery pear
quercus  species,oak
acer platanoides ,schwedleri norway maple
crataegus  species,hawthorn species
betula  species,birch
rhus hirta,staghorn sumac
gingko biloba ,princeton sentry ginkgo
broadleaf deciduous small other,broadleaf deciduous small
acer nigra,black maple
magnolia  species,magnolia
acer saccharum ,green mountain sugar maple
acer platanoides red variety,norway maple
gleditsia triacanthos var. inermis ,sunburst locust
acer rubrum ,scarlet maple
salix  species weeping,weeping willow
gleditsia triacanthos var. inermis ,shademaster locust
populus species,cottonwood
acer platanoides red variety,norway maple species
abies  species,fir
picea  species,spruce
acer platanoides red variety,red maple
larix laricina,larch
pyrus calleryana ,redspire callery pear
fagus  species,beech
ulmus x accolade,accolade elm
acer platanoides,schwedleri norway maple
acer saccharum ,bonfire sugar maple
pyrus calleryana ,capital callery pear
gleditsia triacanthos var. inermis ,imperial locust
acer x freemanii ,armstrong maple
acer platanoides,american hornbeam
tilia americana ,boulevard basswood
platanus x acerifolia ,bloodgood london plane tree
tilia  species,basswood
fraxinus pennsylvanica species,green ash
acer saccharum ,legacy sugar maple
acer saccharinum,red maple
acer rubrum ,sunset red maple
gleditsia triacanthos var. inermis ,honeylocust species
tilia americana ,remond basswood
tilia cordata ,greenspire littleleaf linden
salix  species,willow
acer saccharinum,sugar maple
female gingko biloba,female ginkgo
ulmus rubra,slippery elm
tilia cordata species,ivory silk
acer saccharum,northern red oak
acer platanoides ,royal red norway maple
conifer evergreen large other,conifer evergreen large
tilia cordata ,glenleven littleleaf linden
ulmus x homestead,homestead elm
quercus  species,norway maple red variety
acer platanoides red variety,northern red oak
fagus sylvatica ,weeping beech
acer platanoides ,norway maple
broadleaf deciduous medium other,broadleaf deciduous medium
quercus rubra,pin oak
acer platanoides species,norway maple
acer platanoides,sugar maple
syringa vulgaris,ivory silk
acer saccharum,crabapple species
acer saccharum,norway maple
acer  species,norway maple
acer platanoides,columnare maple
quercus rubra,english oak
acer platanoides ,emerald queen norway maple
fraxinus americana,ash species
corylus  species,hazelnut
tilia americana ,littleleaf linden species
gleditsia triacanthos,ivory silk
ginkgo biloba ,autumn gold ginkgo
acer saccharum ,endowment sugar maple
ostrya virginiana,sugar maple
populus  species,cottonwood
cornus  species,hedge maple
acer platanoides ,maple
prunus maackii,amur chokecherry
ulmus x frontier,frontier elm
alnus rugosa,speckled alder
conifer evergreen medium other,conifer evergreen medium
pinus  species,pine
platanus x acerfolia exclamation ,exclamation plane tree
ulmus x triumph,triumph elm
gymnocladus dioicus ,kentucky coffeetree 
ulmus x pioneer,pioneer elm
gleditsia triacanthos var. inermis ,street keeper honey locust
fraxinus caroliniana,carolina blue ash
fraxinus pennsylvanica species,ash species
malus ,prairifire crab apple
gleditsia tricanthos ,prairie silk honey locust
acer tatarian,tatarian maple
acer tataricum ,rugged charm tartarian maple
acer saccharum ,fall fiesta sugar maple
acer truncatum x acer platanoides ,pacific sunset maple
acer rubrum ,bowhall red maple
acer saccharum ,apollo sugar maple
amelanchier arborea ,autumn blaze serviceberry
malus ,crabapple harvest gold
tilia cordata ,corinthian littleleaf linden
acer truncatum x acer platanoides ,norwegian sunset maple
acer rubrum ,october glory red maple
acer truncatum x platanoides ,crimson sunset maple
malus pumila,paradise apple
chamaecyparis nootkatensis ,weekping nootka false cypress
populus nigra,black poplar
acer ginnala ,amur maple 
conifer evergreen small other,conifer evergreen small
gleditsia triacanthos,skyline
fraxinus nigra,fall gold
acer saccharinum,montréal
acer platanoides,emerald queen
thuja occidentalis,nigra
acer saccharinum,pyramidalis
acer platanoides,deborah
picea pungens,hoopsii
thuja occidentalis,smaragd
pinus nigra,austriaca
salix alba,tristis
populus canescens,tower
pyrus calleryana,glen
quercus x warei,regal prince
acer platanoides,columnarbroad
salix matsudana,tortuosa
acer platanoides,columnare
fraxinus pennsylvanica,summit
ulmus davidiana,discovery
acer platanoides,superform
malus x,profusion
malus x,royalty
fraxinus americana,kleinberg
malus baccata,columnaris
picea pungens,fat albert
pinus strobus,fastigiata
acer saccharinum,silver queen
fraxinus pennsylvanica,patmore
acer x freemanii,autumn blaze
pseudostuga menziesii,glauca
gleditsia triacanthos,shademaster
ulmus x,morton
acer platanoides,crimson sentry
ulmus x hollandica,pioneer
liquidambar styraciflua,moraine
prunus virginiana,canada red
quercus robur,fastigiata
tilia americana,redmond
malus x,robinson
malus x,indian magic
acer platanoides,royal red
gleditsia triacanthos,sunburst
ginkgo biloba,princeton sentry
ulmus x,homestead
ginkgo biloba,autumn gold
populus deltoides,siouxland
tilia x mongolica,harvest gold
acer rubrum,armstrong
crataegus x mordenensis,toba
fraxinus americana,autumn purple
malus x,madonna
picea pungens,glauca
fraxinus pennsylvanica,marshall seedless
fraxinus americana,manitou
tilia cordata,corzam
acer saccharinum,laciniatum
acer saccharum,green mountain
malus x,rosseau
acer platanoides,princeton gold
tilia cordata,greenspire
tilia cordata,sheridan
tilia tomentosa,sterling
betula nigra,heritage
pinus mugo,tannenbaum
acer miyabei,morton
ulmus wilsoniana,prospector
ulmus americana,valley forge
gleditsia triacanthos,imperial
thuja occidentalis,fastigiata
acer platanoides,crimson king
amelanchier x grandiflora,autumn brillance
aesculus hippocastanum,baumanii
amelanchier c.,rainbow pillar
amelanchier g.,princess diana
malus x,snowdrift
ulmus americana,new harmony
malus x,makamik
acer rubrum,morgan
tilia x europaea,wratislaviensis
ulmus x,frontier
malus x,spring snow
acer platanoides,globosum
malus x domestica,belmac
malus x domestica,freedom
pyrus communis,savignac
prunus x,stella
pyrus communis,patten
tilia x europea,euchlora
picea pungens colso,NA
tilia cordata,glenleven
betula pendula,gracilis
malus x,radiant
acer saccharum,temple upright
acer x freemanii,armstrong
platanus x a.,NA
acer platanoides,emerald lustre
picea abies,cupressina
acer rubrum,columnare
prunus virginiana,schubert
amelanchier laevis,spring flurry
malus x,almey
acer platanoides,summershade
quercus robur,crimson spire
acer nigrum,green column
populus alba,pyramidalis
ulmus x,morton plainsman
acer x freemanii,marmo
crataegus x mordenensis,snowbird
acer rubrum,northwood
acer rubrum,red rocket
populus nigra,thevestina
ulmus x,morton glossy
pinus parvifolia,glauca
gleditsia triacanthos,street keeper
pyrus ussuriensis,prairie gem
acer rubrum,brandywine
acer platanoides,jade glen
acer x freemanii,firefall
ulmus x,morton stalwart
acer grandidentatum,rocky mountain glow
malus x,prairifire
gleditsia triacanthos,spectrum
ulmus x,patriots
malus x,jefspire
phellodendron amurensis,macho
acer ginnala,ruby slippers
gleditsia triacanthos,northern acclaim
tilia tomentosa,satin shadow
malus baccata,rosthern
malus x adstringens,durleo
celtis occidentalis,prairie sentinel
acer x freemanii,autumn fantasy
acer x freemanii,celebration
acer saccharinum,wierie
tilia cordata,ronald
prunus armeniaca,scout
malus x,royal raindrops
malus x,thunderchild
malus x,dolgo
phellodendron amurensis,his majesty
acer x freemanii,morgan
