unique_sciname,unique_common_name,genus_name,species_name
ash on property,,ash,on
crataegus crusgalli ,thornless cockspur hawthorn,crataegus,crusgalli
acer x freemanii ,freeman ,acer,freemanii
liliiflora nigra x stellata rosea,ann magnolia,liliiflora,nigra
ulmus americana ,valley forge elm,ulmus,americana
prunus,cherry spp,NA,NA
populus hybrid,hybrid cottonwood,populus,hybrid
amelanchier x grandiflora ,autumn brilliance serviceberry,amelanchier,grandiflora
tree requested,,tree,requested
acer truncatum,shantung maple,acer,truncatum
gymnocladus dioicus ,espresso kentucky coffeetree,gymnocladus,dioicus
syringa species,lilac,syringa,species
amelanchier species,serviceberry,amelanchier,species
catalpa bignonioides,eastern catalpa,catalpa,bignonioides
morus spp.,mulberry,morus,spp
rescon,rescon,NA,NA
acer miyabei ,state street maple,acer,miyabei
populus tremula,eurasian aspen,populus,tremula
platanus x acerifolia,london plane,platanus,acerifolia
quercus x warei,warei oak,quercus,warei
ulmus x ,accolade elm,NA,NA
malus ioensis,prairie or bechtel crabapple,malus,ioensis
ulmus americana ,augustine elm,ulmus,americana
gleditsia triacanthos ,skyline honey locust,gleditsia,triacanthos
prunus virginiana ,canada red chokecherry,prunus,virginiana
crataegus species,hawthorn,crataegus,species
sorbus aucuparia,european mountain ash,sorbus,aucuparia
malus species,edible apple,malus,species
rhamnus cathartica,buckthorn,rhamnus,cathartica
picea glauca var. densata,black hills spruce,picea,glauca
ulmus ,triumph elm,NA,NA
aesculus x carnea ,fort mcnair horsechestnut,aesculus,carnea
syringa pekinensis,peking lilac,syringa,pekinensis
catalpa species,catalpa,catalpa,species
quercus robur ,english columnar oak,quercus,robur
juniperus species,juniper,juniperus,species
malus ,spring snow crabapple,NA,NA
aesculus octandra,yellow buckeye,aesculus,octandra
acer tataricum ,tatarian ,acer,tataricum
ulmus species,elm,ulmus,species
acer saccharum ,john pair maple,acer,saccharum
acer species,maple,acer,species
ulmus propinqua,emerald sunshine elm,ulmus,propinqua
acer tataricum ,pattern perfect maple,acer,tataricum
ddigs tree,ddigs tree,ddigs,tree
quercus gambellii,gambel oak,quercus,gambellii
ulmus carpinifolia x parvifolia ,frontier elm,ulmus,carpinifolia
euonymus alatus,burning bush euonymous,euonymus,alatus
celtis reticulata,western hackberry,celtis,reticulata
ulmus thomasii,rock elm,ulmus,thomasii
cupressus arizonica,arizona cypress,cupressus,arizonica
pyrus communis,fruiting pear,pyrus,communis
prunus cerasifera ,newport plum,prunus,cerasifera
juniperus oxycedrus,prickly juniper,juniperus,oxycedrus
fraxinus species,ash,fraxinus,species
pyrus spp.,pear,pyrus,spp
maclura pomifera,osage orange,maclura,pomifera
prunus domestica,fruiting plum,prunus,domestica
picea glauca ,alberta spruce,picea,glauca
laburnum x watereri,goldenchain tree,laburnum,watereri
gleditsia triacanthos ,imperial honey locust,gleditsia,triacanthos
ulmus davidiana var. japonica ,accolade elm,ulmus,davidiana
tilia x flavescens ,,tilia,flavescens
malus ,prairiefire crabapple,NA,NA
prunus species,plum,prunus,species
quercus robur x bicolor ,regal prince oak,quercus,robur
quercus robur x macrocarpa ,heritage oak,quercus,robur
malus tschonoskii,crabapple,malus,tschonoskii
gleditsia triacanthos ,impcole honey locust,gleditsia,triacanthos
populus species ,cottonwood,populus,species
salix species,willow,salix,species
acer truncatum x a. platanoides ,norwegian sunset maple,acer,truncatum
,flashfire sugar maple,NA,NA
rhamnus species,spp buckthorn,rhamnus,species
caragana arborescens,siberian peashrub,caragana,arborescens
sorbus spp.,mountain ash,sorbus,spp
cedrus atlantica,blue atlas cedar,cedrus,atlantica
quercus robur x alba ,crimson spire oak,quercus,robur
tilia americana ,redmond linden,tilia,americana
styphnolobium japonica,japanese pagoda tree,styphnolobium,japonica
castanea mollissima,chinese chestnut,castanea,mollissima
pinus species,pine,pinus,species
carpinus betulus ,upright european hornbeam,carpinus,betulus
cladrastis lutea,yellowwood,cladrastis,lutea
salix matsudana ,globe navajo willow,salix,matsudana
quercus dentata,japanese emperor oak,quercus,dentata
quercus species,oak,quercus,species
prunus subhirtella ,weeping cherry,prunus,subhirtella
magnolia species,magnolia,magnolia,species
ginkgo biloba ,princeton sentry ginkgo,ginkgo,biloba
picea species,spruce,picea,species
crataegus laevigata ?paul?s scarlet?,paul,crataegus,laevigata
betula species,birch,betula,species
quercus x macdanielli ,heritage english oak,quercus,macdanielli
sorbus x thuringiaca,oakleaf mountain ash,sorbus,thuringiaca
ginkgo biloba ,magyar ginkgo,ginkgo,biloba
abies species,fir,abies,species
forthysia,forsythia species,NA,NA
ulmus wilsoniana,prospector elm,ulmus,wilsoniana
malus ,radiant crabapple,NA,NA
aesculus x ,,NA,NA
cornus species,dogwood,cornus,species
rhus species,sumac,rhus,species
betula occidentalis,western river birch,betula,occidentalis
pyrus calleryana ,jack flowering pear,pyrus,calleryana
prunus padus,bird cherry may day tree,prunus,padus
parrotia persica,persian parrotia,parrotia,persica
gymnocladus dioica ,kentucky ,gymnocladus,dioica
hydrangea paniculata,peegee hydrangea,hydrangea,paniculata
euonymus europaeus,spindle tree,euonymus,europaeus
chionanthus virginicus,fringe tree,chionanthus,virginicus
ligustrum spp.,privet,ligustrum,spp
malus transitoria,crabapple royal raindrops,malus,transitoria
zelkova species,zelkova,zelkova,species
ligustrum ovalifolium,privet hedge,ligustrum,ovalifolium
shepherdia argentea,silver buffalo berry,shepherdia,argentea
sambucus nigra,common elderberry,sambucus,nigra
pinus balfouriana,foxtail pine,pinus,balfouriana
picea abies ,norway weeping spruce,picea,abies
fagus species,beech,fagus,species
crataegus laevigata ,crimson cloud hawthorn,crataegus,laevigata
acer macrophyllum,maple big leaf,acer,macrophyllum
juglans cinerea,butternut walnut,juglans,cinerea
cerocarpus species,mountain mahogany,cerocarpus,species
populus nigra ,lombardy poplar,populus,nigra
broadleaf deciduous small other,broadleaf deciduous small other,broadleaf,deciduous
nyssa sylvatica,"black, blackgum tupelo",nyssa,sylvatica
prunus x yedoensis,flowering cherry,prunus,yedoensis
ulmus davidiana var. japonica,dicovery elm,ulmus,davidiana
euonymus species,,euonymus,species
quercus frainetto ,hungarian oak,quercus,frainetto
cedrus species,cedar,cedrus,species
alnus tenufolia,thinleaf alder,alnus,tenufolia
crataegus douglasii,"black, river hawthorn",crataegus,douglasii
vegetation along sidewalk,vegetation along sidewalk,vegetation,along
platanus x acerifolia ,london ,platanus,acerifolia
conifer evergreen large other,conifer evergreen large other,conifer,evergreen
malus floribunda,japanese crabapple,malus,floribunda
viburnum opulus,european cranberry viburnum,viburnum,opulus
juniperus osteosperma,utah juniper,juniperus,osteosperma
robinia pseudoacacia ,purple robe locust,robinia,pseudoacacia
cedrus deodara,deodara cedar,cedrus,deodara
quercus × schuettei,schuette oak,quercus,schuettei
prunus glandulosa,flowering almond,prunus,glandulosa
larix species,larch,larix,species
pinus densiflora var. umbraculifera,dwarf japanese umbrella pine,pinus,densiflora
populus fremontii,fremont poplar,populus,fremontii
ulmus wilsoniania,prospector elm,ulmus,wilsoniania
crataegus mordenensis ,toba hawthorn,crataegus,mordenensis
thuja plicata,western red cedar,thuja,plicata
asimina triloba,american pawpaw,asimina,triloba
cercis reniformis,oklahoma redbud,cercis,reniformis
liliiflora nigra x sprengeri diva,galaxy magnolia,liliiflora,nigra
quercus undulata,wavy leaf oak,quercus,undulata
alnus species,alder,alnus,species
xancotheras sorbifolium,yellowhorn,xancotheras,sorbifolium
fagus sylvatica ,weeping european beech,fagus,sylvatica
populus species ,poplar,populus,species
vegetation along alley,vegetation along alley,vegetation,along
viburnum sp,viburnum,NA,NA
catalpa ovata,chinese catalpa,catalpa,ovata
paulownia species,paulownia,paulownia,species
betula platyphylla,japanese white birch,betula,platyphylla
picea orientalis,oriental spruce,picea,orientalis
cedrus libani,cedar of lebanon,cedrus,libani
aesculus x arnoldiana,autumn splendor horsechestnut,aesculus,arnoldiana
quercus polymorpha,mexican white oak,quercus,polymorpha
platanus orientalis,oriental planetree,platanus,orientalis
tilia mongolica,harvest golden linden,tilia,mongolica
tsuga canadensis,hemlock,tsuga,canadensis
robinia x ambigua ,idaho locust,robinia,ambigua
salix alba ,golden weeping willow,salix,alba
test site,test site,test,site
robinia pseudoacacia ,purple crown locust,robinia,pseudoacacia
robinia neomexican,new mexico locust,robinia,neomexican
stewartia pseudocamellia,japanese stewartia,stewartia,pseudocamellia
chionanthus retusus,chinese fringe tree,chionanthus,retusus
quercus macrocarpa x gambelii,,quercus,macrocarpa
caragana arborescens ,weeping siberian pea tree,caragana,arborescens
tamarix species,salt cedar tamarisk,tamarix,species
prunus ,north star cherry,NA,NA
quercus x bimundorum,prairie stature oak,quercus,bimundorum
quercus texana,nutall oak,quercus,texana
ziziphus jujuba,"common, red date jujube",ziziphus,jujuba
styrax japonicus,japanese snowbell,styrax,japonicus
neighboring protected tree,,neighboring,protected
yucca rostrata,beaked yucca,yucca,rostrata
ilex species,holly berry,ilex,species
sorbus intermedia,swedish whitebeam,sorbus,intermedia
prunus persica ,weeping peach,prunus,persica
fraxinus angustifolia,raywood ash,fraxinus,angustifolia
diospyros virginia,persimmon,diospyros,virginia
ulmus carpinifolia,field elm,ulmus,carpinifolia
cornus alba,tatarian dogwood,cornus,alba
aesculus glabra var. arguta,texas buckeye,aesculus,glabra
magnolia kobus,kobus magnolia,magnolia,kobus
acer monspessulanum,montpelier maple,acer,monspessulanum
ilex verticillata,winterberry,ilex,verticillata
physocarpus opulifolius ,diablo ninebark,physocarpus,opulifolius
ulmus japonica x pumila ,new horizon elm,ulmus,japonica
sapindus saponarua var drummondi,western soapberry,sapindus,saponarua
chamaecyparis species,false cypress,chamaecyparis,species
salix caprea ,,salix,caprea
stewartia species,stewartia,stewartia,species
styphnolobium japonica ,japanese pogoda tree millstone,styphnolobium,japonica
sorbus aria,whitebeam,sorbus,aria
elaeagnus umbellata,autumn olive,elaeagnus,umbellata
styphnolobium japonica ,japanese pagoda tree ,styphnolobium,japonica
pinus jeffereyi,jeffrey pine,pinus,jeffereyi
picea,spruce,NA,NA
pinus,pine,NA,NA
tilia,linden,NA,NA
sorbus,mountain ash,NA,NA
salix,willow,NA,NA
populus x,hybrid poplar,NA,NA
malus,apple,NA,NA
larix,larch,NA,NA
pinus contorta latifolia,lodgepole pine,pinus,contorta
malus x adstringens gladiator,crabapple,malus,adstringens
larix siberica,siberian larch,larix,siberica
tilia cordata greenspire,littleleaf linden,tilia,cordata
acer platanoides crimson sentry,norway maple,acer,platanoides
syringa reticulata ivory silk,japanese tree lilac,syringa,reticulata
ulmus americana brandon,american elm,ulmus,americana
populus tremuloides,trembling aspen,populus,tremuloides
malus baccata starlite,siberian crabapple,malus,baccata
malus x adstringens radiant,crabapple,malus,adstringens
tilia americana redmond,american linden,tilia,americana
malus x adstringens courageous,crabapple,malus,adstringens
fraxinus pennsylvanica patmore,green ash,fraxinus,pennsylvanica
populus tremula erecta,swedish columnar aspen,populus,tremula
pyrus x navigator,hybrid pear,pyrus,navigator
populus x northwest,hybrid poplar,populus,northwest
prunus padus commutata,mayday,prunus,padus
acer tataricum hot wings,tatarian maple,acer,tataricum
picea pungens blue,colorado spruce,picea,pungens
fraxinus pennsylvanica summit,green ash,fraxinus,pennsylvanica
acer x freemanii sienna glen,freemans maple,acer,freemanii
quercus x jackiana jefmir,hybrid oak,quercus,jackiana
salix pentandra,laurel leaf willow,salix,pentandra
tilia americana true north,american linden,tilia,americana
malus baccata spring snow,siberian crabapple,malus,baccata
tilia x flavescens dropmore,hybrid linden,tilia,flavescens
pyrus fauriei,korean sun pear,pyrus,fauriei
malus baccata columnaris,siberian crabapple,malus,baccata
sorbus decora,showy mountain ash,sorbus,decora
aesculus x autumn splendor,hybrid buckeye,aesculus,autumn
betula papyrifera chikadee,paper birch,betula,papyrifera
crataegus x mordenensis toba,hawthorn,crataegus,mordenensis
alnus crispa,green alder,alnus,crispa
acer x freemanii autumn blaze,freemans maple,acer,freemanii
tilia cordata corinthian,littleleaf linden,tilia,cordata
fraxinus pennsylvanica prairie spire,green ash,fraxinus,pennsylvanica
sorbus aucaparia,european mountain ash,sorbus,aucaparia
betula platyphylla jefpark,dakota pinnacle birch,betula,platyphylla
eleagnus angustifolia,russian olive,eleagnus,angustifolia
fraxinus pennsylvanica bergeson,green ash,fraxinus,pennsylvanica
quercus x warei kindred spirit,hybrid oak,quercus,warei
populus x assiniboine,hybrid poplar,populus,assiniboine
tilia cordata morden,littleleaf linden,tilia,cordata
picea pungens columnar blue,colorado spruce,picea,pungens
prunus virginiana schubert,chokecherry,prunus,virginiana
malus x adstringens thunderchild,crabapple,malus,adstringens
picea pungens hoopsii,colorado spruce,picea,pungens
malus x adstringens purple spire,crabapple,malus,adstringens
crataegus x mordenensis snowbird,hawthorn,crataegus,mordenensis
sorbus aucaparia fastigiata,european mountain ash,sorbus,aucaparia
acer saccharinum silver cloud,silver maple,acer,saccharinum
syringa reticulata snowdance,japanese tree lilac,syringa,reticulata
acer rubrum prairie rouge,red maple,acer,rubrum
picea pungens green,colorado spruce,picea,pungens
salix alba vitellina,white willow,salix,alba
malus x adstringens emerald spire,crabapple,malus,adstringens
acer,maple,NA,NA
prunus maackii goldrush,amur cherry,prunus,maackii
picea pungens columnar,colorado spruce,picea,pungens
alnus hirsuta harbin,manchurian alder,alnus,hirsuta
picea glauca densata,white spruce,picea,glauca
prunus cerasus evans,sour cherry,prunus,cerasus
prunus virginiana midnight schubert,chokecherry,prunus,virginiana
acer rubrum armstrong gold,red maple,acer,rubrum
acer saccharum inferno,sugar maple,acer,saccharum
malus baccata rosthern,siberian crabapple,malus,baccata
salix alba sericea,white willow,salix,alba
salix acutifolia,sharp leaf willow,salix,acutifolia
fraxinus americana autumn purple,white ash,fraxinus,americana
quercus robur x alba skinny genes,hybrid oak,quercus,robur
picea pungens fastigiata,colorado spruce,picea,pungens
sorbus aucaparia pyramidal,european mountain ash,sorbus,aucaparia
acer x freemanii,freemans maple,acer,freemanii
populus x sundancer,hybrid poplar,populus,sundancer
prunus maackii goldspur,amur cherry,prunus,maackii
tilia cordata byskinner,littleleaf linden,tilia,cordata
tilia americana american sentry,american linden,tilia,americana
quercus macrocarpa top gun,bur oak,quercus,macrocarpa
acer ginnala flame,amur maple,acer,ginnala
malus x adstringens royalty,crabapple,malus,adstringens
sorbus aucaparia rossica,european mountain ash,sorbus,aucaparia
prunus nigra princess kay,canada plum,prunus,nigra
malus x adstringens,crabapple,malus,adstringens
ulmus americana patmore,american elm,ulmus,americana
tilia cordata golden cascade,littleleaf linden,tilia,cordata
phellodendron amurense his majesty,amur corktree,phellodendron,amurense
acer negundo sensation,manitoba maple,acer,negundo
quercus x warei regal prince,hybrid oak,quercus,warei
picea pungens baby blue,colorado spruce,picea,pungens
malus x adstringens pink spires,crabapple,malus,adstringens
tilia x flavescens,hybrid linden,tilia,flavescens
quercus macrocarpa sentry columnar,bur oak,quercus,macrocarpa
gleditsia triacanthos var inermis shademaster,thornless honeylocust,gleditsia,triacanthos
tilia cordata summer sprite,littleleaf linden,tilia,cordata
sorbus aucaparia black hawk,european mountain ash,sorbus,aucaparia
pseudotsuga menziesii var. glauca,douglas fir,pseudotsuga,menziesii
malus x adstringens midnite spire,crabapple,malus,adstringens
malus x adstringens red splendor,crabapple,malus,adstringens
populus x tower,hybrid poplar,populus,tower
prunus domestica mount royal,european plum,prunus,domestica
gleditsia triacanthos northern acclaim,honeylocust,gleditsia,triacanthos
pinus sylvestris columnar,scots pine,pinus,sylvestris
tilia mongolica harvest gold,mongolian linden,tilia,mongolica
prunus maackii klondike,amur cherry,prunus,maackii
prunus maackii ming,amur cherry,prunus,maackii
ulmus davidiana burgundy glow,japanese elm,ulmus,davidiana
maackia amurensis summer frost,amur maackia,maackia,amurensis
malus x adstringens dreamweaver,crabapple,malus,adstringens
syringa pekinesis summer charm,peking lilac,syringa,pekinesis
malus x adstringens makamik,crabapple,malus,adstringens
quercus macrocarpa cobblestone,bur oak,quercus,macrocarpa
populus deltoides sargents,cottonwood poplar,populus,deltoides
alnus hirsuta prairie horizon,manchurian alder,alnus,hirsuta
prunus x muckle,hybrid plum,prunus,muckle
,american hybrid elm,NA,NA
fraxinus pennsylvanica foothills,green ash,fraxinus,pennsylvanica
malus x adstringens selkirk,crabapple,malus,adstringens
salix pentandra silver lake,laurel leaf willow,salix,pentandra
quercus x bimundorum midwest,hybrid oak,quercus,bimundorum
malus x adstringens ambassador,crabapple,malus,adstringens
populus,poplar,NA,NA
sorbus aucaparia skinners,european mountain ash,sorbus,aucaparia
syringa reticulata summer storm,japanese tree lilac,syringa,reticulata
populus balsamifera paskapoo,balsam poplar,populus,balsamifera
betula,birch,NA,NA
pyrus ussuriensis golden spice,ussurian pear,pyrus,ussuriensis
acer x freemanii regal celebration,freemans maple,acer,freemanii
acer platanoides columnare,norway maple,acer,platanoides
pyrus ussuriensis mountain frost,ussurian pear,pyrus,ussuriensis
acer negundo baron,manitoba maple,acer,negundo
acer platanoides deborah,norway maple,acer,platanoides
fraxinus americana northern blaze,white ash,fraxinus,americana
crataegus,hawthorn,NA,NA
quercus ellipsoidalis shooting star,northern pin oak,quercus,ellipsoidalis
malus prunifolia rinki,plumleaf crabapple,malus,prunifolia
tilia cordata ronald,littleleaf linden,tilia,cordata
acer negundo sunstar,manitoba maple,acer,negundo
syringa reticulata golden eclipse,japanese tree lilac,syringa,reticulata
acer platanoides prairie splendor,norway maple,acer,platanoides
betula platyphylla fargo,dakota pinnacle birch,betula,platyphylla
crataegus erythropoda,cerro hawthorn,crataegus,erythropoda
celtis occidentalis delta,hackberry,celtis,occidentalis
quercus macrocarpa urban pinnacle,bur oak,quercus,macrocarpa
syringa reticulata willamette,japanese tree lilac,syringa,reticulata
sorbus x hybrida,oakleaf mountain ash,sorbus,hybrida
prunus fruticosa x cerasus crimson passion,dwarf sour cherry,prunus,fruticosa
ulmus davidiana discovery,japanese elm,ulmus,davidiana
aesculus x prairie torch,hybrid buckeye,aesculus,prairie
acer rubrum scarlet jewell,red maple,acer,rubrum
malus parkland,apple,malus,parkland
maackia amurensis starburst,amur maackia,maackia,amurensis
pyrus ussuriensis early gold,ussurian pear,pyrus,ussuriensis
larix occidentalis,western larch,larix,occidentalis
salix babylonica lace,weeping willow,salix,babylonica
pyrus calleryana autumn blaze,glens form pear,pyrus,calleryana
quercus ellipsoidalis majestic skies,northern pin oak,quercus,ellipsoidalis
alnus alnobetula,mountain alder,alnus,alnobetula
fraxinus,ash,NA,NA
prunus ,cherry sp.,NA,NA
ulmus x night rider,hybrid elm,ulmus,night
acer rubrum northwood,red maple,acer,rubrum
ulmus,elm,NA,NA
pyrus ussuriensis ure,ussurian pear,pyrus,ussuriensis
pyrus ussuriensis prairie gem,ussurian pear,pyrus,ussuriensis
malus x adstringens royal beauty,crabapple,malus,adstringens
phellodendron amurense eye stopper,amur corktree,phellodendron,amurense
pinus strobus columnar,eastern white pine,pinus,strobus
sorbus aucaparia cardinal royal,european mountain ash,sorbus,aucaparia
quercus robur x alba crimson spire,hybrid oak,quercus,robur
sorbus aucaparia skybound,european mountain ash,sorbus,aucaparia
betula papyrifera prairie dream,paper birch,betula,papyrifera
malus x adstringens rudolph,crabapple,malus,adstringens
acer tataricum rugged charm,tatarian maple,acer,tataricum
acer rubrum red rocket,red maple,acer,rubrum
acer ginnala ruby slippers,amur maple,acer,ginnala
pyrus,pear,NA,NA
prunus ,plum sp.,NA,NA
malus baccata dolgo,siberian crabapple,malus,baccata
prunus x,hybrid plum,NA,NA
betula pendula gracilis,weeping birch,betula,pendula
acer rubrum autumn spire,red maple,acer,rubrum
juniperus scopulorum wichita blue,rocky mountain juniper,juniperus,scopulorum
acer platanoides crimson king,norway maple,acer,platanoides
malus x adstringens kelsey,crabapple,malus,adstringens
populus x prairie sky,hybrid poplar,populus,prairie
ostrya virginiana,ironwood,ostrya,virginiana
lonicera tatarica,tatarian honeysuckle,lonicera,tatarica
malus x jefdale,apple,malus,jefdale
fraxinus americana tuxedo,white ash,fraxinus,americana
caragana arborescens sutherland,upright caragana,caragana,arborescens
picea pungens bakeri,colorado spruce,picea,pungens
crataegus arnoldiana,arnold hawthorn,crataegus,arnoldiana
prunus pensylvanica mary liss,pin cherry,prunus,pensylvanica
acer platanoides crimson sunset,norway maple,acer,platanoides
picea pungens pendula,colorado spruce,picea,pungens
malus x adstringens shaughnessy cohen,crabapple,malus,adstringens
malus x adstringens almey,crabapple,malus,adstringens
picea glauca pendula,white spruce,picea,glauca
sorbus scopulina,western mountain ash,sorbus,scopulina
pinus cembra columnar,swiss stone pine,pinus,cembra
malus honeycrisp,apple,malus,honeycri
prunus cerasifera newport,cherry plum,prunus,cerasifera
ginkgo biloba,ginkgo biloba,ginkgo,biloba
fraxinus x northern treasure,northern treasure ash,fraxinus,northern
malus x adstringens fuchsia girl,crabapple,malus,adstringens
betula pendula laciniata,weeping birch,betula,pendula
malus x adstringens big river,crabapple,malus,adstringens
pinus mugo big tuna,mugo pine,pinus,mugo
pinus flexilis vanderwolfs pyramid,limber pine,pinus,flexilis
prunus x kerrasis valentine,dwarf sour cherry,prunus,kerrasis
acer rubrum bowhall,red maple,acer,rubrum
fraxinus americana nobility,white ash,fraxinus,americana
fraxinus americana calypso,white ash,fraxinus,americana
prunus padus sweetheart,mayday,prunus,padus
prunus cerasifera atropurpurea,cherry plum,prunus,cerasifera
quercus palustris green pillar,pin oak,quercus,palustris
celtis occidentalis prairie sentinel,hackberry,celtis,occidentalis
picea glauca montrose charm,white spruce,picea,glauca
acer palmatum helena,japanese maple,acer,palmatum
prunus x kerrasis cupid,dwarf sour cherry,prunus,kerrasis
pinus sylvestris golden,scots pine,pinus,sylvestris
malus x adstringens strathmore,crabapple,malus,adstringens
crataegus crusgalli var inermis,thornless hawthorn,crataegus,crusgalli
fraxinus americana autumn blaze,white ash,fraxinus,americana
pyrus calleryana glens form,glens form pear,pyrus,calleryana
malus red sparkle,apple,malus,red
prunus x pembina,hybrid plum,prunus,pembina
acer saccharum fall fiesta,sugar maple,acer,saccharum
malus goodland,apple,malus,goodland
fraxinus nigra fallgold,black ash,fraxinus,nigra
malus x norkent,apple,malus,norkent
picea omorika bruns,serbian spruce,picea,omorika
prunus salicina brookgold,japanese plum,prunus,salicina
malus kerr,apple,malus,kerr
malus x september ruby,apple,malus,september
prunus nigra bounty,canada plum,prunus,nigra
amelanchier alnifolia,tree form saskatoon,amelanchier,alnifolia
malus baccata snowdrift,siberian crabapple,malus,baccata
malus x green wall,columnar crabapple,malus,green
pinus strobus contorta,eastern white pine,pinus,strobus
malus x adstringens harvest gold,crabapple,malus,adstringens
prunus virginiana bailey select,chokecherry,prunus,virginiana
malus fall red,apple,malus,fall
malus x adstringens royal mist,crabapple,malus,adstringens
syringa pekinesis,peking lilac,syringa,pekinesis
pyrus calleryana gladiator,glens form pear,pyrus,calleryana
malus x adstringens snowcap,crabapple,malus,adstringens
prunus padus commutata advance,mayday,prunus,padus
picea pungens ,blue spruce,picea,pungens
acer platanoides red variety,norway maple red variety,acer,platanoides
tilia cordata species,littleleaf linden species,tilia,cordata
acer platanoides ,globe norway maple,acer,platanoides
syringa reticulata,ivory silk,syringa,reticulata
amelanchier  species,serviceberry,amelanchier,species
malus  apple species,crabapple species,malus,apple
acer x freemanii ,autumn blaze maple,acer,freemanii
acer nigra ,greencolumn black maple,acer,nigra
fraxinus pennsylvanica species,green ash species,fraxinus,pennsylvanica
acer platanoides species,norway maple species,acer,platanoides
gleditsia triacanthos,honeylocust species,gleditsia,triacanthos
elm,elm,NA,NA
fraxinus  species,ash species,fraxinus,species
pyrus calleryana species,callery pear,pyrus,calleryana
broadleaf deciduous large other,broadleaf deciduous large,broadleaf,deciduous
acer platanoides ,columnare maple,acer,platanoides
platanus hybrida,london planetree,platanus,hybrida
cornus  species,dogwood,cornus,species
quercus robur ,columnar english oak,quercus,robur
populus grandidentata,bigtooth aspen,populus,grandidentata
rhamnus frangula,glossy buckthron,rhamnus,frangula
taxus  species,yew,taxus,species
prunus  species,plum,prunus,species
ginkgo biloba,ginkgo species,ginkgo,biloba
gleditsia triacanthos var.  inermis ,skyline locust,gleditsia,triacanthos
chamaecyparis nootkatensis,nootka falsecypress,chamaecyparis,nootkatensis
juniperus species,juniperus species,juniperus,species
acer platanoides ,crimson king maple,acer,platanoides
acer  species,maple,acer,species
pyrus calleryana ,chanticleer callery pear,pyrus,calleryana
quercus  species,oak,quercus,species
acer platanoides ,schwedleri norway maple,acer,platanoides
crataegus  species,hawthorn species,crataegus,species
betula  species,birch,betula,species
rhus hirta,staghorn sumac,rhus,hirta
gingko biloba ,princeton sentry ginkgo,gingko,biloba
broadleaf deciduous small other,broadleaf deciduous small,broadleaf,deciduous
acer nigra,black maple,acer,nigra
magnolia  species,magnolia,magnolia,species
acer saccharum ,green mountain sugar maple,acer,saccharum
acer platanoides red variety,norway maple,acer,platanoides
gleditsia triacanthos var. inermis ,sunburst locust,gleditsia,triacanthos
acer rubrum ,scarlet maple,acer,rubrum
salix  species weeping,weeping willow,salix,weeping
gleditsia triacanthos var. inermis ,shademaster locust,gleditsia,triacanthos
populus species,cottonwood,populus,species
acer platanoides red variety,norway maple species,acer,platanoides
abies  species,fir,abies,species
picea  species,spruce,picea,species
acer platanoides red variety,red maple,acer,platanoides
larix laricina,larch,larix,laricina
pyrus calleryana ,redspire callery pear,pyrus,calleryana
fagus  species,beech,fagus,species
ulmus x accolade,accolade elm,ulmus,accolade
acer platanoides,schwedleri norway maple,acer,platanoides
acer saccharum ,bonfire sugar maple,acer,saccharum
pyrus calleryana ,capital callery pear,pyrus,calleryana
gleditsia triacanthos var. inermis ,imperial locust,gleditsia,triacanthos
acer x freemanii ,armstrong maple,acer,freemanii
acer platanoides,american hornbeam,acer,platanoides
tilia americana ,boulevard basswood,tilia,americana
platanus x acerifolia ,bloodgood london plane tree,platanus,acerifolia
tilia  species,basswood,tilia,species
fraxinus pennsylvanica species,green ash,fraxinus,pennsylvanica
acer saccharum ,legacy sugar maple,acer,saccharum
acer saccharinum,red maple,acer,saccharinum
acer rubrum ,sunset red maple,acer,rubrum
gleditsia triacanthos var. inermis ,honeylocust species,gleditsia,triacanthos
tilia americana ,remond basswood,tilia,americana
tilia cordata ,greenspire littleleaf linden,tilia,cordata
salix  species,willow,salix,species
acer saccharinum,sugar maple,acer,saccharinum
female gingko biloba,female ginkgo,female,gingko
ulmus rubra,slippery elm,ulmus,rubra
tilia cordata species,ivory silk,tilia,cordata
acer saccharum,northern red oak,acer,saccharum
acer platanoides ,royal red norway maple,acer,platanoides
conifer evergreen large other,conifer evergreen large,conifer,evergreen
tilia cordata ,glenleven littleleaf linden,tilia,cordata
ulmus x homestead,homestead elm,ulmus,homestead
quercus  species,norway maple red variety,quercus,species
acer platanoides red variety,northern red oak,acer,platanoides
fagus sylvatica ,weeping beech,fagus,sylvatica
acer platanoides ,norway maple,acer,platanoides
broadleaf deciduous medium other,broadleaf deciduous medium,broadleaf,deciduous
quercus rubra,pin oak,quercus,rubra
acer platanoides species,norway maple,acer,platanoides
acer platanoides,sugar maple,acer,platanoides
syringa vulgaris,ivory silk,syringa,vulgaris
acer saccharum,crabapple species,acer,saccharum
acer saccharum,norway maple,acer,saccharum
acer  species,norway maple,acer,species
acer platanoides,columnare maple,acer,platanoides
quercus rubra,english oak,quercus,rubra
acer platanoides ,emerald queen norway maple,acer,platanoides
fraxinus americana,ash species,fraxinus,americana
corylus  species,hazelnut,corylus,species
tilia americana ,littleleaf linden species,tilia,americana
gleditsia triacanthos,ivory silk,gleditsia,triacanthos
ginkgo biloba ,autumn gold ginkgo,ginkgo,biloba
acer saccharum ,endowment sugar maple,acer,saccharum
ostrya virginiana,sugar maple,ostrya,virginiana
populus  species,cottonwood,populus,species
